o1-mini time:212.86131811141968
o1-preview time:330.23504114151
ChatGPT-4o-latest time:118.98718476295471
gpt-4o-2024-05-13 time:155.1635398864746
gpt-4o-2024-08-06 time:113.34012532234192
gpt-4-1106-preview time:238.85686588287354
gpt-4-turbo-2024-04-09 time:320.7183165550232
gpt-3.5-turbo-0125 time:58.754801750183105
gpt-4o-mini-2024-07-18 time:166.55397081375122


qwen2.5-3b time:39.23594570159912
mistral-7b-instruct-2 time:33.3834114074707
gemma-2-9b-it-simpo time:49.828269481658936
google-gemma-2-9b-it time:36.85966515541077
llama-3.1-tulu-8b time:43.22274684906006
zephyr-7b-beta time:24.206713914871216
vicuna-7b time:28.98890495300293AceGPT-v2-32B-Chat time:429.398321390152
AceGPT-v2-32B-Chat time:508.5637729167938
AceGPT-v2-32B-Chat time:468.44267892837524
AceGPT-v2-70B-Chat time:792.2855608463287
AceGPT-v2-32B-Chat time:326.4042160511017
AceGPT-v2-32B-Chat time:300.03913259506226
AceGPT-v2-32B-Chat time:470.1786868572235
AceGPT-v2-32B-Chat time:509.07728338241577
AceGPT-v2-70B-Chat time:2274.156374692917
Awqward2.5-32B-Instruct time:569.0646302700043
calme-2.1-qwen2.5-72b time:698.1889781951904
Cogito-R1 time:461.5714840888977
lambda-qwen2.5-32b-dpo-test time:482.14908814430237
Qwen2.5-32B-Instruct time:762.141857624054
Qwen2.5-32B-Instruct time:453.9123775959015
Llama-3.3-70B-Instruct time:722.0874967575073
Qwen2-72B time:1893.2607851028442
Qwen2.5-32B-Instruct-abliterated-v2 time:564.9962043762207
Qwen2.5-32B-Instruct-CFT time:555.2303819656372
Qwen2.5-72B-Instruct time:832.7329540252686
Qwentile2.5-32B-Instruct time:584.9040839672089
Saka-14B time:824.6998760700226
